#{"t_start": 1745501111.086573, "env_id": "None"}
r,l,t
40.128018,61,551.133354
40.239362,61,552.776896
40.284604,61,554.389448
41.209578,60,556.017165
40.235858,61,557.662615
39.286896,62,559.310411
41.136654,60,560.912118
40.263438,61,562.586123
40.298436,61,564.226508
40.127997,61,565.880427
40.353857,61,567.509563
41.312861,60,569.126228
42.348183,59,570.719489
41.305105,60,572.36045
41.386486,60,573.990465
41.229414,60,575.595512
41.195267,60,577.191341
42.267014,59,578.815363
41.214391,60,580.466568
39.26706,62,582.17768
39.150425,62,583.870972
39.119639,62,585.541531
38.25493,63,587.238021
38.254655,63,588.921635
40.118702,61,590.584322
39.307528,62,592.297226
38.139355,63,594.019873
37.225918,64,595.722678
39.327642,62,597.40394
38.106691,63,599.062184
39.273971,62,600.745652
38.260466,63,602.453065
37.261346,64,604.188496
39.149064,62,605.853829
38.135472,63,607.54549
39.131597,62,609.214848
40.277952,61,610.855729
39.139638,62,612.475079
41.190813,60,614.081723
40.248191,61,615.717629
39.138612,62,617.380356
39.188662,62,619.011422
42.460459,59,620.606091
40.280491,61,622.250207
40.250468,61,623.878747
41.283564,60,625.486417
42.304735,59,627.058461
39.329218,62,628.766064
41.341874,60,630.356215
40.226747,61,631.989247
39.150724,62,633.668561
40.259993,61,635.323907
39.119719,62,636.968609
40.224164,61,638.608668
40.250022,61,640.252846
40.040366,61,641.871948
40.325321,61,643.506684
39.284239,62,645.179492
40.351434,61,646.824287
42.286207,59,648.401119
39.124996,62,650.079927
40.354615,61,651.73438
40.258327,61,653.42749
39.333375,62,655.145018
40.219584,61,656.783726
41.208226,60,658.404982
39.148207,62,660.04785
38.1001,63,661.707537
41.131684,60,663.301319
41.132481,60,664.902698
41.226806,60,666.502301
42.270217,59,668.07955
42.324756,59,669.658028
42.299594,59,671.226742
39.167777,62,672.890032
41.214768,60,674.478708
41.136799,60,676.101026
44.302644,57,677.615079
42.287455,59,679.167808
41.410562,60,680.762153
41.211847,60,682.383542
44.294015,57,683.875946
39.278762,62,685.533723
42.37894,59,687.112268
41.374927,60,688.701977
42.258263,59,690.27597
43.270597,58,691.822866
42.326332,59,693.376537
42.323199,59,694.953837
40.269524,61,696.599142
41.363301,60,698.234916
41.192491,60,699.859993
40.248413,61,701.481301
