total_reward,energy,overshoot,vel_pen,sym_pen
39.3075,18.6211,0.0380,0.0189,0.0338
38.1394,18.5847,0.0345,0.0171,0.0301
37.2259,18.8503,0.0370,0.0163,0.0283
39.3276,18.5837,0.0385,0.0191,0.0340
38.1067,18.4620,0.0336,0.0166,0.0295
39.2740,18.5045,0.0371,0.0185,0.0332
38.2605,18.6772,0.0369,0.0181,0.0332
37.2613,18.8859,0.0372,0.0179,0.0331
39.1491,18.3887,0.0345,0.0175,0.0303
38.1355,18.5604,0.0344,0.0170,0.0300
39.1316,18.3615,0.0341,0.0173,0.0302
40.2780,18.3136,0.0369,0.0185,0.0320
39.1396,18.3165,0.0342,0.0174,0.0303
41.1908,17.9899,0.0351,0.0176,0.0306
40.2482,18.2466,0.0368,0.0176,0.0292
39.1386,18.3519,0.0342,0.0174,0.0303
39.1887,18.4029,0.0355,0.0179,0.0304
42.4605,18.1892,0.0412,0.0191,0.0323
40.2805,18.3303,0.0370,0.0185,0.0320
40.2505,18.2873,0.0362,0.0182,0.0314
41.2836,18.0974,0.0368,0.0175,0.0299
42.3047,17.9880,0.0372,0.0176,0.0298
39.3292,18.5904,0.0385,0.0192,0.0340
41.3419,18.1563,0.0383,0.0181,0.0309
40.2267,18.2814,0.0363,0.0174,0.0289
39.1507,18.4075,0.0346,0.0176,0.0304
40.2600,18.2952,0.0365,0.0183,0.0316
39.1197,18.2923,0.0337,0.0171,0.0299
40.2242,18.1982,0.0362,0.0174,0.0288
40.2500,18.2629,0.0362,0.0182,0.0314
40.0404,18.1209,0.0314,0.0165,0.0260
40.3253,18.4244,0.0382,0.0190,0.0329
39.2842,18.5175,0.0373,0.0186,0.0334
40.3514,18.4387,0.0389,0.0193,0.0334
42.2862,17.9202,0.0366,0.0174,0.0294
39.1250,18.2750,0.0338,0.0171,0.0300
40.3546,18.4278,0.0389,0.0193,0.0334
40.2583,18.3064,0.0364,0.0183,0.0316
39.3334,18.5801,0.0386,0.0192,0.0341
40.2196,18.1853,0.0360,0.0173,0.0287
41.2082,18.1016,0.0356,0.0179,0.0308
39.1482,18.3443,0.0344,0.0175,0.0304
38.1001,18.3490,0.0333,0.0165,0.0293
41.1317,18.0149,0.0336,0.0126,0.0329
41.1325,18.0376,0.0337,0.0126,0.0329
41.2268,18.0617,0.0360,0.0180,0.0310
42.2702,17.8640,0.0368,0.0175,0.0285
42.3248,17.9950,0.0377,0.0178,0.0301
42.2996,17.9984,0.0370,0.0176,0.0297
39.1678,18.4104,0.0350,0.0177,0.0303
41.2148,18.0842,0.0358,0.0179,0.0309
41.1368,17.9464,0.0337,0.0126,0.0329
44.3026,17.6459,0.0366,0.0166,0.0296
42.2875,17.9462,0.0367,0.0174,0.0295
41.4106,18.2582,0.0401,0.0188,0.0320
41.2118,18.0602,0.0357,0.0179,0.0308
44.2940,17.6356,0.0364,0.0164,0.0295
39.2788,18.5216,0.0372,0.0186,0.0333
42.3789,18.0281,0.0390,0.0183,0.0310
41.3749,18.1944,0.0392,0.0184,0.0314
42.2583,17.9427,0.0366,0.0174,0.0284
43.2706,17.7184,0.0366,0.0172,0.0283
42.3263,18.0359,0.0377,0.0178,0.0302
42.3232,17.9150,0.0375,0.0177,0.0300
40.2695,18.2964,0.0367,0.0184,0.0318
41.3633,18.2934,0.0390,0.0183,0.0313
41.1925,17.9305,0.0350,0.0176,0.0306
40.2484,18.1803,0.0367,0.0176,0.0291
40.3059,18.3711,0.0377,0.0188,0.0325
40.2510,18.2764,0.0369,0.0177,0.0292
43.4034,17.9149,0.0394,0.0184,0.0310
42.3334,18.0359,0.0379,0.0179,0.0303
42.3501,18.0243,0.0383,0.0180,0.0305
43.3819,17.9791,0.0390,0.0182,0.0307
32.7487,20.1346,0.0528,0.0190,0.0403
38.2656,18.6555,0.0370,0.0181,0.0333
42.4742,18.0900,0.0414,0.0191,0.0324
38.1067,18.3794,0.0335,0.0166,0.0294
39.3184,18.4403,0.0381,0.0190,0.0338
41.4193,18.3490,0.0404,0.0189,0.0322
40.2554,18.2960,0.0370,0.0177,0.0293
42.4786,18.2033,0.0417,0.0192,0.0325
41.1982,18.0030,0.0353,0.0177,0.0307
36.0430,18.9460,0.0328,0.0142,0.0251
42.2597,17.7988,0.0365,0.0174,0.0283
42.2458,17.8610,0.0362,0.0173,0.0282
42.3236,17.9512,0.0376,0.0178,0.0300
42.2971,18.1473,0.0372,0.0176,0.0298
44.2592,17.5549,0.0361,0.0112,0.0320
40.2246,18.1324,0.0361,0.0173,0.0288
37.2619,18.9573,0.0380,0.0165,0.0287
41.2072,17.9807,0.0354,0.0178,0.0308
42.3122,17.9602,0.0373,0.0177,0.0299
43.2048,17.7784,0.0343,0.0160,0.0281
41.4125,18.2084,0.0401,0.0188,0.0320
42.4922,18.1183,0.0419,0.0193,0.0327
39.2468,18.7137,0.0367,0.0183,0.0330
42.3567,17.9895,0.0384,0.0181,0.0306
44.2559,17.5539,0.0360,0.0112,0.0320
40.2931,18.4259,0.0374,0.0187,0.0323
41.3137,18.2312,0.0377,0.0178,0.0305
45.3807,17.5993,0.0383,0.0169,0.0307
44.4844,17.8447,0.0413,0.0189,0.0319
45.4827,17.7719,0.0411,0.0182,0.0319
43.3024,17.7603,0.0368,0.0173,0.0295
43.4990,17.9747,0.0419,0.0191,0.0325
42.2956,17.8020,0.0367,0.0174,0.0295
44.2877,17.6388,0.0362,0.0163,0.0294
45.4248,17.6640,0.0395,0.0175,0.0312
43.2817,17.8328,0.0364,0.0170,0.0293
43.4562,18.0534,0.0409,0.0188,0.0318
41.3334,18.1512,0.0381,0.0180,0.0307
44.3545,17.6385,0.0379,0.0172,0.0304
42.2832,17.8643,0.0365,0.0173,0.0293
43.4830,18.0162,0.0415,0.0190,0.0322
43.4704,18.0132,0.0412,0.0189,0.0320
40.2631,18.3598,0.0366,0.0183,0.0317
43.2933,17.6435,0.0371,0.0173,0.0285
40.3383,18.4599,0.0386,0.0192,0.0332
43.4650,17.9622,0.0410,0.0189,0.0319
43.3211,17.7657,0.0372,0.0176,0.0297
44.4610,17.8031,0.0406,0.0187,0.0315
46.3125,17.3185,0.0363,0.0151,0.0301
45.3093,17.5434,0.0365,0.0159,0.0299
42.3331,17.9792,0.0378,0.0179,0.0302
43.2346,17.5954,0.0356,0.0116,0.0317
42.3717,17.9949,0.0388,0.0182,0.0308
44.4159,17.8061,0.0395,0.0183,0.0309
42.2700,17.8058,0.0368,0.0175,0.0285
43.3026,17.7613,0.0375,0.0174,0.0286
43.4453,17.9902,0.0406,0.0187,0.0316
44.3181,17.6548,0.0377,0.0168,0.0289
32.2956,19.5431,0.0000,0.0019,0.0032
42.2035,17.7365,0.0350,0.0120,0.0314
46.4657,17.6133,0.0404,0.0171,0.0320
43.2745,17.7576,0.0368,0.0172,0.0283
41.1680,17.9437,0.0344,0.0174,0.0300
43.4143,17.9155,0.0397,0.0185,0.0312
43.4491,18.0525,0.0407,0.0188,0.0317
42.3732,18.0005,0.0389,0.0182,0.0309
42.4416,18.2281,0.0408,0.0189,0.0320
40.3582,18.4970,0.0391,0.0194,0.0335
42.4843,18.1882,0.0418,0.0193,0.0326
42.2998,17.9673,0.0370,0.0175,0.0297
43.4179,17.9330,0.0398,0.0185,0.0312
42.3306,17.9318,0.0377,0.0178,0.0301
44.2934,17.7048,0.0364,0.0165,0.0295
38.2830,18.6278,0.0374,0.0183,0.0336
35.9778,18.7776,0.0311,0.0124,0.0257
40.2421,18.3862,0.0368,0.0176,0.0292
43.4238,17.9374,0.0400,0.0185,0.0313
42.2574,17.7566,0.0364,0.0173,0.0283
41.3314,18.0979,0.0380,0.0179,0.0307
43.2882,17.6879,0.0370,0.0173,0.0284
39.1542,18.5037,0.0348,0.0177,0.0303
39.1277,18.2256,0.0338,0.0171,0.0300
40.2669,18.2564,0.0366,0.0183,0.0317
37.0040,18.4830,0.0311,0.0134,0.0274
44.2997,17.6088,0.0371,0.0167,0.0286
41.2296,18.1418,0.0362,0.0181,0.0310
40.2901,18.3372,0.0372,0.0186,0.0322
41.2953,18.2239,0.0372,0.0176,0.0302
42.2540,17.9696,0.0366,0.0174,0.0284
42.3596,18.0119,0.0385,0.0181,0.0307
41.4393,18.3547,0.0409,0.0191,0.0326
39.1351,18.2962,0.0341,0.0173,0.0302
36.0353,19.1084,0.0329,0.0142,0.0251
38.1357,18.5248,0.0343,0.0170,0.0300
40.2367,18.2463,0.0358,0.0180,0.0311
41.1350,17.9867,0.0337,0.0126,0.0329
42.3588,17.9705,0.0385,0.0181,0.0306
44.3282,17.8388,0.0374,0.0171,0.0300
42.2559,17.7900,0.0364,0.0173,0.0283
42.2881,17.9078,0.0373,0.0176,0.0288
41.2998,18.1034,0.0372,0.0176,0.0302
41.3717,18.3601,0.0393,0.0184,0.0315
37.9651,18.4295,0.0299,0.0124,0.0293
38.1442,18.5278,0.0345,0.0171,0.0301
38.2975,18.7842,0.0380,0.0186,0.0341
42.3520,18.0164,0.0384,0.0180,0.0305
45.3005,17.5563,0.0363,0.0158,0.0298
38.1190,18.5834,0.0340,0.0169,0.0298
39.1171,18.3073,0.0336,0.0170,0.0299
37.2873,18.9380,0.0379,0.0182,0.0338
30.9185,20.3386,0.0338,0.0148,0.0253
38.2854,18.6780,0.0375,0.0184,0.0337
39.2613,18.4420,0.0367,0.0183,0.0330
39.1287,18.3876,0.0340,0.0173,0.0302
40.3131,18.3203,0.0378,0.0188,0.0326
42.2571,17.8839,0.0365,0.0174,0.0284
41.3212,18.1256,0.0378,0.0178,0.0305
36.0287,19.1529,0.0326,0.0156,0.0267
39.2763,18.6720,0.0373,0.0186,0.0334
41.1831,18.0625,0.0349,0.0176,0.0304
39.1648,18.4593,0.0350,0.0177,0.0303
42.2898,17.9306,0.0374,0.0177,0.0288
40.0876,17.9126,0.0324,0.0127,0.0300
40.1187,18.1646,0.0335,0.0173,0.0279
38.1116,18.5781,0.0338,0.0168,0.0296
42.4429,18.0713,0.0407,0.0189,0.0319
42.2800,17.8545,0.0371,0.0176,0.0286
37.2257,18.9193,0.0371,0.0163,0.0283
42.2991,17.9425,0.0370,0.0175,0.0297
42.2513,17.8656,0.0364,0.0173,0.0283
40.2529,18.4359,0.0365,0.0183,0.0316
39.1179,18.2224,0.0336,0.0170,0.0298
41.2248,18.0586,0.0360,0.0180,0.0309
38.2809,18.7349,0.0375,0.0183,0.0337
41.3535,18.2028,0.0386,0.0182,0.0311
40.2377,18.2357,0.0358,0.0180,0.0311
37.0003,18.5533,0.0309,0.0148,0.0253
42.3987,17.9276,0.0394,0.0184,0.0312
44.3150,17.5931,0.0375,0.0168,0.0288
38.1637,18.5765,0.0351,0.0174,0.0305
40.2544,18.2113,0.0369,0.0177,0.0292
40.3052,18.4954,0.0378,0.0188,0.0326
41.2359,17.9854,0.0361,0.0181,0.0310
43.4067,17.9224,0.0395,0.0184,0.0310
40.2183,18.1398,0.0359,0.0173,0.0287
37.0007,18.5126,0.0311,0.0134,0.0273
41.2324,18.1088,0.0362,0.0181,0.0310
38.2956,18.7886,0.0379,0.0185,0.0340
37.1653,18.7891,0.0355,0.0159,0.0276
36.0461,18.8386,0.0328,0.0142,0.0251
38.1320,18.5868,0.0343,0.0170,0.0300
40.2331,18.2929,0.0358,0.0180,0.0311
41.3851,18.3190,0.0396,0.0185,0.0317
42.3865,18.0608,0.0393,0.0184,0.0311
39.1250,18.4228,0.0340,0.0173,0.0302
39.2497,18.6301,0.0366,0.0183,0.0330
32.2899,19.6725,0.0000,0.0019,0.0032
39.3036,18.5377,0.0378,0.0188,0.0336
38.1340,18.5897,0.0344,0.0170,0.0300
39.2461,18.5139,0.0364,0.0182,0.0328
40.2430,18.2849,0.0360,0.0181,0.0313
37.2310,18.9538,0.0373,0.0163,0.0284
40.2539,18.1977,0.0362,0.0182,0.0314
41.4439,18.3000,0.0410,0.0191,0.0326
39.3109,18.5073,0.0380,0.0189,0.0337
37.1093,18.6223,0.0339,0.0156,0.0268
40.2368,18.3679,0.0360,0.0181,0.0312
39.1523,18.3848,0.0346,0.0176,0.0303
41.1613,18.0201,0.0343,0.0174,0.0300
42.4752,18.1238,0.0415,0.0192,0.0324
42.3320,17.9407,0.0378,0.0178,0.0302
44.4109,17.7555,0.0394,0.0182,0.0308
42.2813,17.8821,0.0371,0.0176,0.0287
40.3742,18.4466,0.0395,0.0195,0.0337
43.2900,17.6732,0.0370,0.0173,0.0284
44.2839,17.6651,0.0361,0.0163,0.0294
41.4471,18.4022,0.0412,0.0192,0.0327
37.2287,18.7008,0.0368,0.0162,0.0281
38.2800,18.6292,0.0373,0.0183,0.0335
41.3731,18.2323,0.0392,0.0184,0.0314
42.3477,17.9503,0.0382,0.0180,0.0304
40.2904,18.3406,0.0373,0.0186,0.0322
39.2470,18.5041,0.0364,0.0182,0.0328
36.0521,19.0876,0.0331,0.0157,0.0270
40.1438,18.1314,0.0339,0.0167,0.0275
40.2341,18.1946,0.0364,0.0175,0.0289
33.7951,20.0391,0.0530,0.0194,0.0403
41.2110,18.0479,0.0356,0.0179,0.0308
41.2877,18.0365,0.0368,0.0175,0.0299
39.0919,18.0942,0.0327,0.0168,0.0292
38.1045,18.4536,0.0335,0.0166,0.0294
41.3093,18.1566,0.0375,0.0177,0.0304
43.2845,17.7835,0.0370,0.0173,0.0284
40.3017,18.3085,0.0375,0.0187,0.0324
36.0304,18.8169,0.0324,0.0141,0.0249
33.6705,20.0017,0.0508,0.0186,0.0386
39.2552,18.4045,0.0365,0.0182,0.0329
44.3282,17.7839,0.0374,0.0171,0.0300
41.1715,17.9773,0.0345,0.0175,0.0302
42.2606,17.8060,0.0365,0.0174,0.0284
41.3143,18.0254,0.0375,0.0177,0.0303
40.1285,18.0683,0.0336,0.0174,0.0279
41.3470,18.1693,0.0384,0.0181,0.0310
43.2753,17.7576,0.0368,0.0172,0.0283
41.4397,18.3524,0.0409,0.0191,0.0325
42.2790,17.8672,0.0370,0.0176,0.0286
